id,date,storename,score,texto
67,2016-05-24 13:26:34,vindi,-0.23535,me hago  gorras de aguacate   o de huevo  son   buenicimas
68,2016-05-24 13:35:39,vindi,0.203097,Me pongo aceite de aguacate
69,2016-05-24 13:38:02,vindi,0.0,"Mi secreto para tener mi cabello saludable, es cortarlo constantemente con esto me aseguro que tenga un buen crecimiento y elimino las puntas quemadas, lo lavo con productos profesionales TRESemmé para mantenerlo hidratado y limpio."
70,2016-05-24 13:38:21,vindi,0.962174,Mi secreto es lavarme mi cabello cm el TRESemme y luego aplicar el rinse q me lo deja espectacular  y lo mejor de todo esq lo puedo conseguir cerquita de casa en mi vindi favorito
71,2016-05-24 13:39:03,vindi,0.0,"El secreto es lavarlo tres veces a la semana, y utilizar gorras para reparar e hidratar , y cortar las puntas cada dos meses, y por supuesto utilizar lo menos posible plancha y secadora"
72,2016-05-24 13:39:32,vindi,-0.444013,Todos los domingos hacerme una gorra de aguacate o bien sino tengo mucho tiempo usar un regenerador capilar.
73,2016-05-24 13:40:17,vindi,0.632331,Mi secreto es usar los productos TRESemmé y mascarillas de aguacate!!!! Todo lo consigo en Vindi!!!
74,2016-05-24 13:40:37,vindi,0.762955,me  gusta  lavarmelo   3  veces  x semana  cortarmelo     cuando  hay  luna  llena       uso un buen   CHAMPU Y ACONDICIONADOR   COMO  TRESsemme   y  cabello  sano y fuerte
75,2016-05-24 13:45:13,vindi,-0.708822,"No me lo lavo tan seguido.
Me hago mascarillas de vez en cuando.
No uso mucho la plancha ni la secadora porque me gusta que se seque solo al aire libre y cuando me lo aplancho uso gotas para protegerlo."
76,2016-05-24 13:46:33,vindi,0.929543,"mi secreto para cuidar mi cabello es lavarlo solamente 3 veces a la semana, utilizar los productos TRESemmé mantiene mi cabello con brillo, hidratado y sedoso, me encanta como queda, un secreto que hago antes de lavarlo es aplicar miel de abeja en todo mi cabello ya que lo nutre :)"
77,2016-05-24 13:46:45,vindi,0.96425,"mi secreto definitivamente es usar los productos que me ofrece TRESemmé, son excelentes y de muy buena calidad!!!"
78,2016-05-24 13:48:16,vindi,0.932891,"Mi secreto es mantenerlo con los productos #TRESemmé, he probado muchas marcas hasta que encontré esta y puedo decir con toda seguridad que es la mejor "
79,2016-05-24 13:51:01,vindi,0.0,"Una alimentación saludable, no uso plancha ni secadora, uso mascarillas naturales, gotas para el brillo."
80,2016-05-24 13:52:58,vindi,-0.466316,"Me corto las puntas cada mes , y me hago mascarillas una vez al mes"
81,2016-05-24 13:58:03,vindi,0.595372,Mi secreto para que el cabello se mantenga lindo es usar los productos TRESemmè son una maravilla...
82,2016-05-24 14:01:08,vindi,-0.719458,ME  LO   LAVO   4    VECES A LA SEMANA      ME ECHO  GOTAS  DE   VINAGRE      Y   NO ME GUSTA  APLANCHARLO  MUCHO     MI  MAMA   ME   DIJO  QUE  ME  LO PEINARA   MUCHAS   VECES ANTES DE ACOSTARME     Y   ME ECHO  CREMA PARA  PEINAR  DESPUES DE   LAVARLO
83,2016-05-24 14:04:34,vindi,0.429825,"Aparte de Usar productos de calidad como TRESemmé  al finalizar el lavado del rinse , enjuago el cabello con agua fria, le da un excelente brillo"
84,2016-05-24 14:05:05,vindi,0.347985,Mi secreto para mantener mi cabello es contármelo cada 3 meses usar gotitas para hidratarlo y lavar melo día de por medio
85,2016-05-24 14:06:10,vindi,0.0,"Yo me cuido mi cabello en nunca uso plancha ni secadora, me lo lavo dia por medio y cada 15 dias me lo lavo con cerveza o con coca cola y se lo deja uno bellisimo y uso mascarilla de aguacate con aceite oliva y me lo deja bellisimo"
86,2016-05-24 14:08:44,vindi,-0.00790125,"Mi cabello es rizado. 
?Me hago masajes en el cuero cabelludo antes de lavármelo
?De la mitad hacia las puntas me pongo aceite de árgan
?Utilizo cepillo de cerdas anchas o solo mis dedos para peinarlo
?Me hago una gorra de miel de abeja, huevo, banano y aceite mineral.
?Uso crema para peinar de Keratina.
?Me lo seco al aire libre.
?No utilizo secadora ni plancha solo para eventos especiales y me lo cuido con un protector de calor.
?Uso gorra cuando el sol esta muy fuerte.
??Amo y acepto mi cabello creo que eso es lo mas importante!"
87,2016-05-24 14:10:37,vindi,-0.374625,"mi secreto es cortarme las puntas cada dos meses, desenredar el cabello con un peine adecuado que no lo reviente, usar mascarillas naturales y lavarme el cabello con los productos TRESemmé   =)"
88,2016-05-24 14:12:28,vindi,-0.296609,Mi secreto es lavarlo tres veces por semana con un buen shampoo y rinse una vez por semana usar tratamiento y cortarme las puntas cada tres meses.
89,2016-05-24 14:20:25,vindi,0.604255,Aceite de coco!
90,2016-05-24 14:24:06,vindi,0.598245,"Mi secreto, hacerme una gorra de aguacate  una vez al mes para mantener el brillo, cortarlo por lo menos cada 3 meses para darle fuerza, utilizar buenos productos para hidratarlo y quiero productos TRESemmé para que me quede espectacular !"
91,2016-05-24 14:26:55,vindi,0.0,"Para cuidar mi cabello me hago una mascarilla cada 15 días con aceite de oliva o aceite de coco, lo  lavo cada dos días, no uso secador, ni plancha y uso todas las hierbas a mi alcance para mantenerlo fuerte, recorto las puntas cada dos meses. "
92,2016-05-24 14:33:44,vindi,0.432408,Cepillarme bien el cabello antes de acostarse y solo usar productos de calidad como TRESSemmé
93,2016-05-24 14:41:58,vindi,-0.79183,Mi secreto es lavarlo  3 veces a la semana cortar puntas  1 vez al mes y usar agua de romero para quitar el shampoo
94,2016-05-24 14:47:38,vindi,0.601821,Mi secreto para mantener mi cabello es contármelo cada 3 meses usar gotitas para hidratarlo y lavarmelo día de por medio
95,2016-05-24 14:56:18,vindi,0.0,Aunque no lo crean lavarmelo todos los días
96,2016-05-24 15:01:49,vindi,0.273438,Dejarlo secar naturalmente y hacerse mascarillas naturales para hidratarlo.
97,2016-05-24 15:02:17,vindi,0.0,"Yo me aplico mascarillas hidratantes una vez por semana y a veces con algún producto natural, como banano con miel."
98,2016-05-24 15:07:37,vindi,0.0772939,Mi secreto? Uso productos TRESemmé. Pero con agüita fría para mantenerlo bien hidratado.
99,2016-05-24 15:09:52,vindi,0.0,"Nuestros hábitos diarios influyen más en la apariencia del pelo que cualquier tratamiento que puedas aplicar, por eso  la elección de los mejores  productos  para el uso diario es lo mejor, por eso quiero esos productos  TRESemmé"
100,2016-05-24 15:11:20,vindi,0.203241,"Usando gorras hidratantes luego de aplicarme los tintes? así el cabello no se maltrata tanto
Gracias por la oportunidad #Vindi???????"
101,2016-05-24 15:11:54,pali,0.0,Y tome chichi...
102,2016-05-24 15:22:23,vindi,0.0,Obvio para cuidar mi cabello necesito los ricos productos de TRESemme
103,2016-05-24 15:22:40,vindi,0.0,"En un mundo tan exigente para la mujer en donde todas tenemos que estar bellas en los diferentes ámbitos donde nos desenvolvemos, lo mas importante es cuidarlo con productos de excelente calidad como tres semme, además si quieres darle brillo, que el ultima agua que toque tu cabello en la ducha, sea agua fría, para que cierre la cutícula de tu cabello y así se fije el producto en El."
104,2016-05-24 15:24:10,vindi,0.965169,"Lo cuidamos con cositas naturales como mascarillas de aguacate o linaza para el cabello de mi hija que es colocho para mantenerlo hidratado,pero con productos TRESammé sera una maravilla para nuestro cabello :)"
105,2016-05-24 15:26:04,vindi,-0.291726,Yo tengo el cabello muy grasoso y me encantaría que me dieran alguna receta para mejorar este problema
106,2016-05-24 15:33:15,vindi,0.921995,Bueno lo lavo suavemente y con masajes para que mis Risos sean bien lindos ya que me cuestan mucho cuidarlos pero se q con ese tratamiento van a estar geeenial
107,2016-05-24 15:33:16,vindi,0.00162093,"Yo me lo cuido usando mascarillas en mi.pelo con aceite de oliva miel y una yema de huevo
Me corto las puntas cada tres meses
Y uso la linea de TRESSemmé con keratina"
108,2016-05-24 15:33:21,vindi,-0.523821,Yo del todo no utlizo ni plancha ni secadora de cabelloya mi cabello es lasio por naturaleza
109,2016-05-24 15:35:28,vindi,0.722065,"Mi secreto es usar mascarillas y peinarlo siempre en las noches, y dejarlo al natural y suelto, yooooo lo quiere desde que empecé a usar esa marca mi cabello mejoro mucho la amo yooooo lo quiero"
110,2016-05-24 15:40:51,vindi,0.0,Lavar dos veces a la semana con TRESemmé mantiene mi cabello hermoso
111,2016-05-24 15:42:31,vindi,0.757031,"Mi secreto es cortarme las puntas cada dos meses, utilizar excelentes productos para el cuidado de mi cabello , lavar mi cabello con agua fría , excelente Tresemme"
112,2016-05-24 15:43:16,vindi,0.0,Kattia Herrera Rivera
113,2016-05-24 15:46:46,vindi,0.00830719,"Yo tengo problemas de alopecia, entonces lavo mi pelo de día por medio con un shampoo suave y acondicionador, lo peino una vez al día y voy a cortarme las puntas una vez al mes.  Tomo vitaminas para revitalizar mi cabello"
114,2016-05-24 15:50:31,vindi,0.671561,"Yo lavo mi cabello dos veces x semana! y siempre ando buscando gorras de hidratación  para hacermelas una vez x semana....me gusta cortarlo cada tres meses...y claro me gustaría esta línea   de productos TRESemme son buenisimos dejan el cabello precioso, con brillo y suavidad...aparte su aroma me encanta!!!"
115,2016-05-24 15:52:51,vindi,0.0,Yo me lo lavo dia por medio y uso gotas de aceite de argan .me encantaría poder ganar para utilizar esos maravillosos productos TRESEmme.
116,2016-05-24 15:54:11,vindi,0.0,Yo me lavo el cabello 3 veces por semana y me colocó un producto para peinar y así me lo cuido y con el producto de TRESemme me quedaría excelente mi cabello
117,2016-05-24 15:54:42,vindi,-0.322903,"Cortar las puntas cada tres meses.
Primero uso el acondicionador y luego el shampoo.
Lo lavo cada dos días.
Comienzo el lavado de mi cabello con agua tibia y termino con agua fría.
Uso protectores de calor a la hora de aplancharlo o usar la rizadora."
118,2016-05-24 16:07:21,vindi,0.261615,Yo lo quiero! !!
119,2016-05-24 16:16:02,vindi,0.449934,"Lo primero es estar feliz y aceptar él tipo de cabello que tenemos.Me lo lavo cada 2 días,me echo gotas para las puntas y los productos que utilizo son fe calidad porque son TRESemmé y los consigo en Vindi"
120,2016-05-24 16:20:14,vindi,0.0,"No plancharlo y mascarillas de cuando en cuando, de keratina o germen de trigo."
121,2016-05-24 16:27:48,vindi,0.0,"Mi secreto es,tresseme, porsupuesto, es el mejor, tenia cabello graso y gracias a este champu se me quito, esta solo"
122,2016-05-24 16:29:32,vindi,0.829893,Yo me me hago una mascarilla de aguacate por semana
123,2016-05-24 16:31:49,vindi,0.369322,"Cada dos dias me lavo el cabello con de TRESemmé y la verdad veo la diferencia en el brillo y la suavidad 
Además cada semana aplicó alguna gorra con aguacate !!"
124,2016-05-24 16:37:11,vindi,0.596265,"Mi secreto es utilizar los productos TRESemméLlego y al hacerlo lavarme el cabello con agua fría así mi cabello no queda grasoso y x el contrario queda radiante , liso y muy bello 
"
125,2016-05-24 16:38:54,vindi,0.0,Mi secreto es usar los productos TRESEMME
126,2016-05-24 16:48:16,vindi,-0.277395,Mii secreto es aplicar el acondicionador por la mitad del cabello
127,2016-05-24 16:57:08,vindi,0.814541,Mi secreto recortarme el pelo cada tres meses lavarme el pelo tres veces a la semana  y sobre  con los mejores productos  #TRESemme
128,2016-05-24 16:59:53,pali,-0.505388,Tome chichí no es del verdugo?? 
129,2016-05-24 17:06:31,vindi,0.969379,"Lavarlo de día de x medio y x supuesto con buenos productos TRESemmé, bien hidratado, sedoso y con brillo!"
130,2016-05-24 17:08:08,vindi,0.0,Uso tresemme
131,2016-05-24 17:08:47,vindi,0.528482,Me hago una gorra natural una vez por semana
132,2016-05-24 17:09:02,vindi,0.11922,"Definitivamente es usar los productos TreSemme mi cabello estaba opaco sin vida con frizz puntas abiertas tengo dos meses que lo comencé a usar y es una maravilla tiene un brillo increíble el pelo se ve mucho mas sano un 80% y eso q es teñido, el frizz se fue!! Me queda suave sedoso y huele mmmmm delicioso !!! Yo me lo lavo cada dos días y bueno cuando lo aplacho uso protector de calor, 
"
133,2016-05-24 17:18:21,maxipali,0.0,Allan Chaves Roxana Aguilar Wendy Barrantes Wendy Aguilar
134,2016-05-24 17:18:39,vindi,-0.280793,Me lavo el cabello todos los días con champú.
135,2016-05-24 17:20:17,vindi,0.942667,"Mi secreto es el vinagre de manzana, es lo máximo si lo quiero suave y brillante, en cuanto a lo natural"
136,2016-05-24 17:30:08,vindi,0.435118,"Me encanta utilizar los productos TreSemme mi cabello estaba opaco y las puntas un poco secas,  tengo 4  meses que comencé a usar el shampo y acondicionador, son increíbles ahora mi cabello ya tiene más brillo, me gusta hacerme masajes en el cuero cabelludo y aplicarme una gorra para hidratarlo una vez a la semana."
137,2016-05-24 17:32:38,vindi,0.0603411,"Me encanta el cabello lacio y solo con plancha lo puedo tener así entonces ces quisiera ganar para comprobar los resultados de salón que nos ofrece tresemme a todas las mujeres 
Ahora lo que hago  mantener mi cabello sano? Usar tresemme"
138,2016-05-24 17:39:07,vindi,0.600491,Yo utilizo shampoo sin sal y su acondicionador recomendado por un amigo estilista y la verdad me lo deja hermoso hidratado y brillante me encantaría usar treseme para ver los resultados y mi cabello hermoso
139,2016-05-24 17:49:33,vindi,0.67309,El secreto para cuidar mi cabello es la utilización de éstos productos treSemmé son  maravillosos
140,2016-05-24 18:04:04,vindi,0.407734,"Mi secreto para que el cabello se mantenga lindo es usar los productos TRESemmè son la mejor calidad, por esta razón solo necesito lavarlo dos veces por semana.
Mi cabello se mantiene como si siempre fuera cuidado por profesionales"
141,2016-05-24 18:04:49,maxipali,0.605065,Mmmmm q comodo
142,2016-05-24 18:07:00,vindi,0.863288,Lavarme el cabello de día por medio con productos treesemme es genial el brillo qué  le da
143,2016-05-24 18:07:45,pali,0.0,Tomé pali
144,2016-05-24 18:09:13,vindi,0.0,Uso shampoo y acondicionador medicados.Hago una gorra cada 3 semanas.
145,2016-05-24 18:13:14,vindi,0.0,Sana alimentación y agua. ..
146,2016-05-24 18:16:13,vindi,0.209269,"Mi secreto es cuidarlo con buenos productos Me encanta Tresemme 
usar tratamiento completo
y usar agua fría"
147,2016-05-24 18:18:05,maxipali,0.0,SIPI
148,2016-05-24 18:19:03,vindi,0.0,Es lavarlo día por medio
149,2016-05-24 18:20:01,vindi,-0.214936,"Me corto las puntas cada mes y medio, una vez a la semana me hago una mascarilla en el cabello y luego me pongo unas gotas para el brillo y lo seco "
150,2016-05-24 18:31:40,vindi,-0.153956,"Me corto las puntas de mes de por medio.
Lo lavo de día de por medio.
Lo dejo que se seque antes de recogerlo!"
151,2016-05-24 18:34:58,vindi,0.507636,Creo que con las carreras de hoy en día debemos dejar en manís de los que saben cuidar nuestro cabello y sin dudarlo TRESemmé sabe hacerlo!!!! Ayudan las gorras naturales pero cuando hay tiempo...
152,2016-05-24 18:37:54,vindi,0.0,El secreto...TRESemmé :)
153,2016-05-24 18:40:40,vindi,-0.82794,Bueno yo no soy de hacerme gorras en el cabello porque casi no me alcanza el tiempo. Mi tips seria lavarlo 2 veces por semana y yo lo que hago es peinarme hasta que se seque completamente el cabello y usar el rince de medios a puntas!!!!
154,2016-05-24 18:43:27,vindi,-0.68547,Yo la lavo mi cabello dos.beces x.semana von.los productos.tres seme
155,2016-05-24 18:46:05,vindi,-0.223871,Mi secreto ? Consumir Acido Folico !
156,2016-05-24 18:47:48,vindi,-0.286695,Los productos TreSemme son super me encantaría ganarmelos
157,2016-05-24 18:48:59,vindi,0.872596,"Amo el champú ,pero lo q nunca me falta es el acondionador ya q x  twñirmelo es el q me lo mantiene hidratado"
158,2016-05-24 19:10:05,pali,0.607027,"¡Qué éxito! (Sarcástico) que Palí nuevo y teniendo espacio no lo aprovecharon siendo un lugar pequeño agregamos que hay 4 cajas pero solo una funciona, añado que es un parqueo bastante pequeño. Sería bueno mejorar un poco"
159,2016-05-24 19:10:21,vindi,-0.729876,Mi cabello es muy rebelde lo lavo dia por medio y muy grasoso lo aplancho para verlo un poco mejor y nada
160,2016-05-24 19:37:09,masxmenos,0.503012,A q hora miércoles frescos??
161,2016-05-24 19:43:12,vindi,0.469278,A mi me encanta hacerle mascarillas de coco y miel para que me quede sedoso y brillante y evito la plancha lo mas que puedo me gusta usarlo suelto asi no se me marca tanto pero lo tengo muy grasoso y se me cae mucho asi que tengo que lavarlo dia de por medio y eso es lo que me entristece porque lo tengo muy fino y poco  pelo pero dentro de lo.posible lo cuido lo mas que puedo
162,2016-05-24 19:44:27,masxmenos,0.0,Y LAS OFERTAS DE LOS MIERCOLES?
163,2016-05-24 19:44:45,vindi,0.0,El secreto en mi cabello  es usar productos de calidad primero q nada.. muchos lo resecan o lo ponen muy grasoso
164,2016-05-24 19:51:11,vindi,0.69698,Me gusta cuidarlo con gorras de aguacate
165,2016-05-24 19:58:06,vindi,0.625145,Dejarlo secar al natural y peinarlo con cuidado 3 veces al día
166,2016-05-24 20:00:17,vindi,0.0,No abusar de la secadora y la plancha; y usar romero para el brillo
167,2016-05-24 20:28:53,vindi,0.300342,"Hace poco empecé a usar el TRESemme Repair porque tenía mechas platinadas y se me maltrató mucho el cabello, definitivamente he visto los cambios excelentes!!!"
168,2016-05-24 20:29:07,vindi,0.0,Lavarlo mi cabello con agua fría y usar los mejores productos para el cabello
169,2016-05-24 20:41:26,vindi,0.819173,Usando los productos tresemme porsupuesto
170,2016-05-24 20:52:09,vindi,0.0,"Darle un chineo con aceite de aguacate dos veces x semana, lavarlo hasta sentirlo muy limpio y luego de ponerle en acondicionador o la mascarilla lo peino hasta desenredarlo. Luego con abundante agua quito el producto. Nunca uso secadora y lo plancho solo para ocasiones especiales."
171,2016-05-24 21:00:16,vindi,0.556725,Usar tresemme 2 veces por semana son muy buenos los productos
172,2016-05-24 21:02:20,vindi,0.0,Usamos productos TreSemme y también un buen consejo  que practicamos en la familia es cortar puntas cada mé para que se renueve con fuerza y evitar las puntas abiertas
173,2016-05-24 21:05:58,vindi,0.0,Exc tratamiento yo lo quiero
174,2016-05-24 21:20:43,vindi,-0.393503,Me hago gorras de aguacate una vez por semana y melo lavo dia por medio.  Me encantaría ganar los productos de TRESEmme
175,2016-05-24 21:29:24,vindi,0.322309,Darle un chineito de vez en cuando en el salón de belleza. Lavarlo y cuidarmelo
176,2016-05-24 21:41:23,vindi,0.50965,Sin duda alguna x usar productos TreSemme son fantásticos.
177,2016-05-24 22:07:30,masxmenos,0.00315839,"A la hora que uno ya este comprando en cualquier otro supermercado !!!
Solo una vez por semana y no lo pueden publicar temprano ¿?"
178,2016-05-24 22:08:24,masxmenos,-0.79839,Ke triste en serio...como que no les importa.
179,2016-05-24 22:22:38,masxmenos,0.46637,Melissa Hernandez Delgado
180,2016-05-24 22:24:36,masxmenos,0.301746,Cristina vea!!
181,2016-05-24 22:25:54,masxmenos,0.0,Ana Fonseca Vega Maria Del Mar FV
182,2016-05-24 22:30:19,masxmenos,0.0,Roxana FC
183,2016-05-24 22:38:29,vindi,0.735031,"Es lo mejor TRESemme 
Les cuento que hace años lo usaba me dejaba el cabello tan lindo un tiempo ya no lo vendían en los súpermercados y ahprota que volvió sin duda fue algo increíble es súper bueno de verdad nunca había usado un champú y acondicionador tan excelente, me gustaría ganar porque amo esta marca"
184,2016-05-24 22:40:41,vindi,0.305565,el secreto es tener el dinero suficiente para poder ir con los expertos.
185,2016-05-24 22:46:30,masxmenos,0.435919,Jose Pablo Venegas Baltodano
186,2016-05-24 23:04:37,masxmenos,0.588926,Estrella Morera Yadira Morera
187,2016-05-24 23:04:51,masxmenos,0.0,Javier Arrieta Luna
188,2016-05-24 23:09:00,masxmenos,0.521727,"No piensan en quienes trabajamos y debemos dejar la lista de compras y la plata para el día siguiente, voy buscando otro super !"
189,2016-05-24 23:09:09,maxipali,0.0,Alguien me puede desir del cual es el mas cerca  de san jose
190,2016-05-24 23:20:35,vindi,0.0,Mi secreto a pesar de que se me cae mucho el cabello por haberme convertido en mamita es usar mi inseparable shampoo y acondicionador tresemmé el cual me brinda un brillo increible y me ayuda con el nuevo crecimiento del cabello y no dejó a un lado el delicioso aroma que tiene.
